Villain,Year first,Year last,Doc. no.,Doctor actor,Epi- sodes,"Stories, total","Motivation (invasion earth, end of universe, etc)",Story titles
Monoid,1966,1966,1,William Hartnell,4,1,Power,The Ark
Morbius,1976,1976,4,Tom Baker,4,1,Universal control,The Brain of Morbius
Mordred,1989,1989,7,Sylvester McCoy,4,1,Power,Battlefield
Morgaine,1989,1989,7,Sylvester McCoy,4,1,War,Battlefield
"Morgus, Trau",1984,1984,"5,6","Peter Davison, Colin Baker",4,1,Make money,The Caves of Androzani
Morka,1970,1970,3,Jon Pertwee,7,1,World domination,Doctor Who and the Silurians    
"Moroks, (the)",1965,1965,1,William Hartnell,4,1,Power,The Space Museum
Morpho,1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Mortimus ,1965,1966,1,William Hartnell ,16,2,Meddle with time,"The Time Meddler, The Daleks' Master Plan"
Movellans,1979,1979,4,Tom Baker,4,1,War with Daleks,Destiny of the Daleks
Mummies (Osirian service robots),1975,1975,4,Tom Baker,4,1,Serve big bad, Pyramids of Mars
Myrka (the),1984,1984,5,Peter Davison,4,1,Serve big bad,Warriors of the Deep
Mysterious Man,2007,2007,10,David Tennant,1,1,Power/ serve big bad,The Hazarus Experiment
"Naismith, Joshua",2009,2010,"10,11","David Tennant, Matt Smith",2,1,Immortality,The End of Time
"Neo-Nazis, Windsor",1988,1988,7,Sylvester McCoy,3,1,Fascist stooge,Silver Nemesis
Nestene Consciousness,1970,2010,"3,9",Jon Pertwee,9,3,Universal control,Spearhead from Space/Terror of the Autons/Rose
New Humans,2006,2007,10,David Tennant,2,2,Sabotage,"New Earth, Gridlock"
Nilson,1984,1984,5,Peter Davison,4,1,Serve big bad,Warriors of the Deep
"Nimon, The",1979,1980,4,Tom Baker,4,1,Continue the Great Journey of life,The Horns of Nimon
Nucleus,1977,1977,4,Tom Baker,4,1,"Disease, infection",The Invisible Enemy
"Number 79B, Alckman Road",2010,2010,11,Matt Smith,1,1,Capture humans,The Lodger
Nyder,1975,1975,4,Tom Baker,6,1,Serve big bad,Genesis of the Daleks
"Oak, Mr",1968,1968,2,Patrick Troughton,6,1,Serve big bad,Fury from the Deep
Ogri,1978,1978,4,Tom Baker,4,1,Protect,The Stones of Blood
Ogrons ,1972,1973,3,Jon Pertwee,10,2,Serve big bad,"Day of the Daleks, Frontier in Space"
Oil Rig,2007,2007,10,David Tennant,13,1,"Drain oil from planets, make money",The Infinite Quest 
Omega,1972,1983,"1,2,3,5","William Hartnell, Patrick Troughton, Jon Pertwee, Peter Davison",8,2,Revenge,"The Three Doctors, Arc of Infinity"
"Ood, the (Oodkind), inc benevolent appearances",2006,2010,"10,11","David Tennant, Matt Smith",6,4,Serve big bad,"The Impossible Planet/The Satan Pit, Planet of the Ood, The Waters of Mars, Human Nature"
Oracle (the),1978,1978,4,Tom Baker,4,1,Control of alien species,Underworld
Pangol,1980,1980,4,Tom Baker,4,1,Conquest,The Leisure Hive
"Peinforte, Lady",1988,1988,7,Sylvester McCoy,3,1,Wanted ownership of a weapon,Silver Nemesis
Peking Homunculus (Mr Sin),1977,1977,4,Tom Baker,6,1,Kill humans,Talons of Weng Chiang
Pig Slave,2007,2007,10,David Tennant,2,2,Kill humans,"Daleks in Manhatten, Evolution of the Daleks"
"Pike, Samuel ",1966,1966,1,William Hartnell,4,1,Find Treasure,The Smugglers
Plasmatons,1982,1982,5,Peter Davison,4,1,Serve big bad,Time-Flight
Plasmavores (Florence Finnegan),2007,2007,10,David Tennant,1,1,Drink blood,Smith and Jones
Poggit (Mrs),2010,2010,11,Matt Smith,1,1,Serve big bad,Amy's Choice
"Pond, Melody (before redemption)",2011,2011,11,Matt Smith,1,1,Serve big bad,Let's Kill Hitler
Primord,1970,1970,3,Jon Pertwee,7,1,Control Humans,Inferno
Prisoner Zero,2010,2010,11,Matt Smith,1,1,Fugative,The Eleventh Hour
Pyroviles,2008,2008,10,David Tennant,1,1,World domination,The Fires of Pompeii
Quarks,1968,1968,2,Patrick Troughton,5,1,Enslavement,The Dominators
"Quill, Mr",1968,1968,2,Patrick Troughton,6,1,Serve big bad,Fury from the Deep
Quillam,1985,1985,6,Colin Baker ,2,1,Experiments on humans,Vengeance on Varos
"Quinlan, Sir James",1970,1970,7,Jon Pertwee,7,1,Serve big bad,The Ambassadors of Death
"Racnoss, Empress of the",2006,2006,10,David Tennant,1,1,Kill humans,The Runaway Bride
Rago Navigator,1968,1968,2,Patrick Troughton,5,1,Conserve energy,The Dominators
Rani (the),1985,1993,"3,4,5,6,7","Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy",8,3,"Enslavement, Medical experimentation","The Mark of the Rani, Dimensions in Time, Time and the Rani"
Rassilon,1983,2010,"1,2,3,4,5,10,11","Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, David Tennant, Matt Smith",3,2,Power,"The Five Doctors, The End of Time"
Raston Warrior Robot,1983,1983,"1,2,3,4,5","Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",1,1,Kill everything,The Five Doctors
"Ratcliffe, George",1988,1988,7,Sylvester McCoy,4,1,Ally with the Nazis,Rememberance of the Daleks
"Rattigan, Luke",2008,2008,10,David Tennant,2,1,World domination,The Sontaran Stratagem/The Poison Sky
Reapers,2005,2005,9,Christopher Eccleston,1,1,Sterilise time disturbances, Father's Day
Red Carnivorous Maw,2009,2010,10,David Tennant,2,1,World domination,The End of Time
Reegan,1970,1970,7,Jon Pertwee,7,1,Crime,The Ambassadors of Death
Restac,2010,2010,11,Matt Smith,1,1,World domination,Cold Blood
Roboforms,2005,2010,"10,11","David Tennant, Matt Smith",3,3,Scavengers/Imprison the Doctor,"The Christmas Invasion, The Runaway Bride, The Pandorica Opens (see Alliance above)"
Robomen,1964,1964,1,Wiliam Hartnell,6,1,Serve big bad,The Dalek Invasion of Earth
Robot Dr Who,1965,1965,1,William Hartnell,6,1,Kill Doctor and companions,The Chase
Robotic cleaners,1987,1987,7,Sylvester McCoy,4,1,Serve big bad,Paradise Towers
Robotic crab,1987,1987,7,Sylvester McCoy,4,1,Serve big bad,Paradise Towers
Rodrick,2005,2005,"9,10","Christopher Eccleston, David Tennant",2,2,money (prize money),"Bad Wolf, Parting of the Ways"
Rorvik,1980,1980,4,Tom Baker,4,1,Slave Trader,Warriors' Gate
Rudge,1986,1986,6,Colin Baker,4,1,Serve big bad,Terror of the Vervoids
Rutans,1977,1977,4,Tom Baker,4,1,War,Horror of Fang Rock
Salamander,1967,1968,2,Patrick Troughton,6,1,Wants to control an organisation,The Enemy of the World
"Smith, Josiah Samuel (Survey)",1989,1989,7,Sylvester McCoy,3,1,Destroy all life,Ghost Light
San Francisco street gang,1996,1996,"7,8","Sylvester McCoy, Paul McGann",1,1,Turf war (shoots doctor),Doctor Who (TV movie)
Saturnynians,2010,2010,11,Matt Smith,1,1,World domination,The Vampires of Venice
"Saxon, Lucy",2007,2010,10,David Tennant,4,2,Serve big bad,"The End of time, The Sound of Drums/Last of the Time Lords"
"Scarman, Marcus",1975,1975,4,Tom Baker,4,1,Serve big bad,Pyramids of Mars
Scaroth,1979,1979,4,Tom Baker,4,1,Steal the Mona Lisa to finance experiments,City of Death
Scorby ,1976,1976,4,Tom Baker,6,1,Flee England,The seeds of Doom
Screaming Jungle (The),1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Sea Devils,1972,1984,"3,5","Jon Pertwee, Peter Davison",10,2,Capture the Doctor,"The Sea Devils, Warriors of the Deep"
Seaweed Creature (Weed creature),1968,1968,2,Patrick Troughton,6,1,World domination,Fury from the Deep
Seers,1978,1978,4,Tom Baker,4,1,Serve big bad,Underworld
Sensorites,1964,1964,1,William Hartnell,6,1,Fear,The Sensorites
Shadow (the),1979,1979,4,Tom Baker,6,1,War,The Armageddon Factor
Shakri,2012,2012,11,Matt Smith,1,1,Destroy humans,The Power of Three
Sharrel,1979,1979,4,Tom Baker,4,1,Destroy,Destiny of the Daleks
Shockeye of the Quawncing Grig ,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Eat human flesh,The Two Doctors
Silence (the),2011,2011,11,Matt Smith,4,3,World domination,"The Impossible Astronaut/Day of the Moon, Let's Kill Hitler, The Wedding of River Song"
Sil,1985,1986,6,Colin Baker,6,2,Exploitation,Vengeance on Varos/Mindwarp
Silurians (exc Sea Devils),1970,2010,"3,5,11","Jon Pertwee, Peter Davison, Matt Smith",16,6,World domination,"Doctor Who and the Silurians, Warriors of the Deep, The Hungry Earth/Cold Blood, The Pandorica Opens (see Alliance above), A Good Man Goes to War"
"Simeon, Dr",2012,2012,11,Matt Smith,1,1,Serve big bad,The Snowmen
Sin (Mr),1977,1977,4,Tom Baker,6,1,Kill humans,The Talons of Weng-Chiang
"Sisters of Plenitude (Hame, Jaff)",2006,2007,10,David Tennant,2,2,"Power, experimented on humans","New Earth, Gridlock"
Skagra,1979,1979,4,Tom Baker,6,1,Universe domination,Shada
Skeleton Crew ,2007,2007,10,David Tennant,13,1,Self interest,The Infinite Quest 
Skorpius Flies,2009,2009,10,David Tennant,7,1,Self interest (food),Dreamland
Slab,2007,2007,10,David Tennant,1,1,Serve big bad,Smith and Jones
"Slitheen (Strickland, Margaret Blaine and Oliver Charles)",2005,2005,9,Christopher Eccleston,3,2,"World domination, kill humans","Aliens of London/World War Three, Boom Town"
Slyther,1964,1964,1,Wiliam Hartnell,6,1,Serve big bad,The Dalek Invasion of Earth
Smilers (Winders),2010,2010,11,Matt Smith,1,1,Serve big bad,The Beast Below
"Sneed, Gabriel",2005,2005,9,Christopher Eccleston,1,1,Self interest,The Unquiet Dead
"Snowmen, The",2012,2012,11,Matt Smith,1,1,Serve Big Bad,The Snowmen
"Soldeed, The",1979,1980,4,Tom Baker,4,1,Rebuild the Skonnan Empire,The Horns of Nimon
Soloman,2012,2012,11,Matt Smith,1,1,Profit,Dinosaurs on a Spaceship
Soloman's robots (x2),2012,2012,11,Matt Smith,1,1,Serve big bad,Dinosaurs on a Spaceship
"Solon, Dr Mehendri",1976,1976,4,Tom Baker,4,1,Medical experiments,The Brain of Morbius
"Solow, Dr",1984,1984,5,Peter Davison,4,1,Serve big bad,Warriors of the Deep
Sontarans,1973,2008,"2,3,4,6,10,11","Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker, David Tennant, Matt Smith",21,9,"War, world domination","The Time Warrior, The Sontaran Experiment, The Invasion of Time, The Two Doctors, The Sontaran Stratagem/The Poison Sky, Logopolis, The End of Time, The Pandorica Opens, A Good Man Goes to War"
Squawk,2007,2007,10,David Tennant,13,1,Serve big bad,The Infinite Quest 
Sskel,1974,1974,3,Jon Pertwee,6,1,Power,The Monster of Peladon
Staal,2008,2008,10,David Tennant,2,1,World domination,The Sontaran Stratagem/The Poison Sky
"Stael, Maximillion",1977,1977,4,Tom Baker,4,1,Serve big bad,Image of the Fendahl
"Stahlman, Professor",1970,1970,3,Jon Pertwee,4,1,World domination,Inferno
"Stark, Colonel",2009,2009,10,David Tennant,7,1,"Power, Kill humans",Dreamland
Stike,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Make time machine,The Two Doctors
Stingray,2009,2009,10,David Tennant,1,1,Self interest (food),Planet of the Dead
Stotz,1984,1984,"1,5,6","William Hartnell, Peter Davison, Colin Baker",4,1,Make money,The Caves of Androzani
"Styggron, Chief scientist",1975,1975,4,Tom Baker,4,1,Medical experiments,The Android Invasion
Super Voc SV7 robot,1977,1977,4,Tom Baker,4,1,Serve big bad,The Robots of Death
Surgeons,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The End of the World
Sutekh,1975,1975,4,Tom Baker,4,1,Destroy all life,Pyramids of Mars
Swarm (Alien Stingray),2009,2009,10,David Tennant,1,1,Destroy all life,Planet of the Dead
Sycorax (Fadros Pullujikaa),2005,2010,"10,11","David Tennant, Matt Smith",2,2,World domination,The Christmas Invasion (also see Alliance above)
"Taltalian, Bruno",1970,1970,7,Jon Pertwee,7,1,Serve big bad,The Ambassadors of Death
Taran androids,1978,1978,4,Tom Baker,4,1,Serve big bad,The Androids of Tara
Tegana,1964,1964,1,William Hartnell,7,1,Kill the Doctor,Marco Polo
Tekker,1985,1985,6,Colin Baker,2,1,Serve big bad,Timelash
Terileptil's android,1982,1982,5,Peter Davison,4,1,Serve big bad,The Visitation
Terileptils,1982,1982,5,Peter Davison,4,1,Kill the Doctor,The Visitation
Terrible Zodin,1983,1985,"1,2,3,4,6","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker",3,2,attack the Doctor,"The Five Doctors, Attack of the Cybermen"
Teselecta,2011,2011,11,Matt Smith,1,1,Serve big bad,Let's Kill Hitler
Teselecta antibodies,,2011,11,Matt Smith,1,1,Serve big bad,Let's Kill Hitler
Tetrap,1987,1987,7,Sylvester McCoy,4,1,Control the Universe,Time and the Rani
Thawn,1978,1979,4,Tom Baker,4,1,Power,The Power of Kroll
Three Who Rule,1980,1980,4,Tom Baker,4,1,Kill creatures/control humans,State of Decay
Timanor,1984,1984,5,Peter Davison,4,1,Power,Planet of Fire 
Time Beetle,2008,2008,10,David Tennant,1,1,"Meddle with time, creating parallel universes",Turn Left
Tlotoxl,1964,1964,1,William Hartnell,4,1,Religion,The Aztecs
Toclafane,2007,2007,10,David Tennant,2,1,Self interest,The Sound of the Drums/Last of the Time Lords
Torajii System Sun,2007,2007,10,David Tennant,1,1,Posess crew members,42
Tractator,1984,1984,5,Peter Davison,4,1,Invade,Frontios
Trask (The Highlanders),1966,1967,2,Patrick Troughton,4,1,Smuggle weapons,The Highlanders
Trin-E,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,Bad Wolf
Tryst,1979,1979,4,Tom Baker,4,1,Make money,Nightmare of Eden
Ulysees Meregrass,2007,2007,10,David Tennant ,13,1,Make money,The Infinite Quest
Unicorn (the),2008,2008,10,David Tennant,1,1,steal jewels,The Unicorn and the Wasp
Uvodni,2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens (see Alliance above)
Valeyard (the),1986,1986,6,Colin Baker,18,3,Kill the Doctor,"The Mysterious Planet/The Ultimate Foe, Trial of a Timelord"
"van Statten, Henry",2005,2005,9,Christopher Eccleston,1,1,Corruption,Dalek
Vardan,1978,1978,4,Tom Baker,6,1,Time travelling,The Invasion of Time
Varga,1967,1967,2,Patrick Troughton,6,1,World domination,The Ice Warriors
Varl,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Possess time travel,The Two Doctors
Varla,1967,1967,2,Patrick Troughton,3,1,Possess time travel,The Two Doctors
Vashta Nerada,2008,2008,10,David Tennant,2,1,Consume lifeforms,Silence in the Library/Forest of the Dead
Vasor,1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
"Vaughn, Tobias",1968,1968,2,Patrick Troughton,8,1,Kill the Doctor,The Invasion
Vervoids ,1986,1986,6,Colin Baker,4,1,Kill humans,Terror of the Vervoids
Vespiforms,2008,2008,10,David Tennant,1,1,"Research, not in control of powers",The Unicorn and the Wasp
Viperox,2009,2009,10,David Tennant,7,1,Hunt/invade,Dreamland
VOC robot,1977,1977,4,Tom Baker,4,1,Serve big bad,The Robots of Death
Voord,1964,1964,1,William Hartnell,6,1,Wants to control a Planet,The Keys of Marinus
"Vynda-K, Graff",1978,1978,4,Tom Baker,4,1,Make money,The Ribos Operation
Wagner,2006,2006,10,David Tennant,1,1,Control time and the universe,School Reunion
War Chief,1969,1969,2,Patrick Troughton,10,1,Kidnapp,The War Games
War Lord,1969,1969,2,Patrick Troughton,10,1,Kidnapp,The War Games
Weeping Angels,2007,2012,"10,11","David Tennant, Matt Smith",4,3,"Kill, trap in time","Blink, The Time of Angels/Flesh and Stone, The Angels Take Manhattan"
Weevils,2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens (see Alliance above)
Whitaker,1974,1974,3,Jon Pertwee,6,1,Possess time travel,Invasion of the Dinosaurs
White Robot,1968,1968,2,Patrick Troughton,5,1,Serve big bad ,The Mind Robber 
Winder ,2010,2010,11,Matt Smith,1,1,Protect ,The Beast Below
"Winters, Miss",1974,1975,4,Tom Baker,4,1,Blackmail,Robot
Wire (the),2006,2006,10,David Tennant,1,1,Erase thoughts,The Idiot's Lantern
Wirrn/Wirrrn ,1975,1975,4,Tom Baker,4,1,World domination,The Ark in Space
Wolfweeds,1979,1979,4,Tom Baker,4,1,Serve big bad,The Creature from the Pit
WOTAN,1966,1966,1,William Hartnell,4,1,World domination,The War Machines
Wrack,1983,1983,5,Peter Davison,4,1,Compete for enlightenment,Enlightenment
"Xanxia, Queen",1978,1978,4,Tom Baker,4,1,Make money,The Pirate Planet
Xoanon,1977,1977,4,Tom Baker,4,1,Enslavement,The Face of Evil
Yartek,1964,1964,1,William Hartnell,6,1,Serve big Bad,The Keys of Marinus
Yeti,1967,1983,"1,2,3,4,5","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",13,3,Serve big bad,"The Abominable Snowmen, The Web of Fear, The Five Doctors"
Za,1963,1963,1,William Hartnell,4,1,Power,An Unearthy Child
Zarbi,1965,1965,1,William Hartnell,6,1,"Forage, possessed",The Web Planet
Zargo (one of Three who rule),1980,1980,4,Tom Baker,4,1,"Drink blood, control humans",State of Decay
"Zaroff, Professor",1967,1967,2,Patrick Troughton,4,1,Destroy the World,The Underwater Menace
Zu-Zana,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,Bad Wolf
Zygons,1975,2012,"4,11","Tom Baker, Matt Smith",5,2,Invade earth,"Terror of the Zygons, The Power of Three"
